MES,FECHA,CARRERA,LOCALIDAD,DISTANCIA,TERRENO,HOMOLOGADA,CONFIRMADA,GUÍA EN BLOG,WEB OFICIAL,URL GUÍA
Enero,03/01,Crematorrons Lliçà d'Amunt,Lliçà d'Amunt,"5,5k",Asfalto,No,Sí,No,https://www.llicamunt.cat/actualitat/agenda/cursa-popular-crematorrons.html,
Enero,04/01,Cursa Reis Cornellà,Cornellà de Llobregat,5k,Asfalto,No,Sí,Sí,http://www.corresolidaris.org/cursadereis/,
Enero,04/01,Cursa Reis Sant Julià,Sant Julià de Cerdanyola,5k,MIxta,No,Sí,Sí,https://www.jaberga.com/cursareis,
Enero,04/01,La Navarclina,Navarcles,10k y 5k,Mixta,No,Sí,Sí,https://www.lanavarclina.cat/,
Enero,04/01,Cursa La Torrodona,Calldetenes,5k,Mixta,No,Sí,No,https://cursa-la-torronada05.webnode.es/,
Enero,11/01,Mitja Sitges,Sitges,21k y 10k,Asfalto,Sí,Sí,Sí,https://www.zonavipevents.com/carreras/mitja-sitges/,
Enero,11/01,Marxa Nadalenca Olot,Olot,8k,Asfalto,No,Sí,No,https://www.marxanadalencaolot.cat/p/la-marxa.html,
Enero,11/01,Crematorrons Miami Platja,Miami Platja,10k y 5k,Asfalto,No,Sí,No,https://webtretzesports.wixsite.com/crematorrons,
Enero,17/01,Towerruning Torre Glòries,Barcelona,34 plantas,Escaleras,No,Sí,No,https://www.miradortorreglories.com/tower-running/,
Enero,17/01,Cursa Polinyà,Polinyà,10k,Mixta,No,Sí,Sí,https://cursapolinya.cat/,
Enero,18/01,Cursa De L'Oli Borges Blanques,Les Borges Blanques,10k y 5k,Mixta,No,Sí,No,https://clubatleticborges.cat/,
Enero,18/01,Mitja Granollers,Granollers,"21k, 10k y 5k",Asfalto,Sí,Sí,Sí,https://www.lamitja.cat/open-de-la-mitja/,
Enero,18/01,Cursa Popular La Pobla de Claramunt,La Pobla de Claramunt,3k,Asfalto,No,Sí,No,https://www.instagram.com/ceanoia/,
Enero,25/01,Cursa Sant Antoni,Barcelona,10k y 5k,Asfalto,Sí,Sí,Sí,https://cursasantantoni.cat/,
Enero,25/01,Cursa De La Dona L'Escala,L'Escala,5k,Asfalto,No,Sí,No,https://esportslescala.cat/cursa-de-la-dona/,
Enero,25/01,10K De Vilafranca,Vilafranca del Penedès,10k,Asfalto,Sí,Sí,Sí,https://10kvilafranca.org/,
Enero,25/01,Cursa Agrollobera De Sant Blai,El Palau d'Anglesola,10k y 5k,Asfalto,Sí,Sí,No,https://www.cursadesantblai.cat/,
Febrero,01/02,The Bosco Run,Barcelona,5k,Asfalto,No,Sí,No,https://www.salesianssarria.com/the-bosco-run,
Febrero,01/02,Cursa De Sant Vicenç De Mollet,Mollet del Vallès,10k y 5k,Asfalto,No,Sí,No,https://camollet.cat/,
Febrero,01/02,Mitja Terrassa,Terrassa,21k y 5k,Asfalto,Sí,Sí,Sí,https://www.mitjaterrassa.org/curses/mitja-marato/,
Febrero,01/02,Mitja Sant Cugat,Sant Cugat,"21k, 10k y 5k",Asfalto,Sí,Sí,Sí,https://mitjasantcugat.cat/,
Febrero,01/02,Cursa De La Serra,Puigverd de Lleida,"10k, 6,5k y Trail 13k",Mixta,No,Sí,No,https://aecpuigverd.org/,
Febrero,01/02,En Marxa Contra El Càncer Girona,Girona,10k y 5k,Asfalto,No,Sí,No,https://www.instagram.com/contraelcancer.girona/,
Febrero,08/02,Cursa La Pineda Platja,La Pineda,10k y 5k,Asfalto,No,Sí,No,https://www.athleticevents.net/cursa/14a-cursa-solidaria-aquum-spa-la-pineda-platja-517,
Febrero,08/02,Cursa Carnestoltes,Reus,5k,Asfalto,No,Sí,No,https://webtretzesports.wixsite.com/cursadecarnestoltes,
Febrero,08/02,Run For Càncer Aiguaviva,Aiguaviva,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Anglès,Anglès,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Flaçà,Flaçà,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Maçanet de la Selva,Maçanet de la Selva,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Navata,Navata,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Olot,Olot,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Palafrugell,Palafrugell,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Planoles,Planoles,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Porqueres,Porqueres,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Bellcaire d'Empordà,Bellcaire d'Empordà,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Riudellots de la Selva,Riudellots de la Selva,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Salt,Salt,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,Run For Càncer Tossa de Mar,Tossa de Mar,10k y 5k,Mixta,No,Sí,No,https://oncolligagirona.cat/reptes-solidaris/run4cancer.html,
Febrero,08/02,En Marxa Contra El Càncer Vilafant,Vilafant,10k y 5k,Mixta,No,Sí,No,https://curses.cat/vilafantenmarxa2026/,
Febrero,08/02,Cursa Popular Camiral,Caldes de Malavella,10k y 5k,Mixta,No,Sí,No,https://web.rockthesport.com/ca/event/4a-cursa-popular-camiral,
Febrero,15/02,Mitja Barcelona,Barcelona,21k,Asfalto,Sí,Sí,Sí,https://www.mitjamarato.barcelona/es/,
Febrero,15/02,Pujada A Peu Als Àngels,Girona,"9,1k",Mixta,No,Sí,No,https://geieg.cat/pujada-a-peu-als-angels/,
Febrero,22/02,Mitja Colomenca,Santa Coloma de Gramenet,21k y 10k,Asfalto,Sí,Sí,Sí,https://uca.cat/categoria/curses/mitja-marato-colomenca/,
